record_type,dataset,class,score_bin,threshold,count,total,percentage
score_bin,sd300b,genuine,0,,105,500,21.0
score_bin,sd300b,genuine,1,,0,500,0.0
score_bin,sd300b,genuine,2,,273,500,54.6
score_bin,sd300b,genuine,3,,58,500,11.6
score_bin,sd300b,genuine,4,,29,500,5.8
score_bin,sd300b,genuine,5-9,,30,500,6.0
score_bin,sd300b,genuine,10+,,5,500,1.0
descriptive_threshold_sensitivity,sd300b,genuine,,1,395,500,79.0
descriptive_threshold_sensitivity,sd300b,genuine,,2,395,500,79.0
descriptive_threshold_sensitivity,sd300b,genuine,,3,122,500,24.4
descriptive_threshold_sensitivity,sd300b,genuine,,4,64,500,12.8
score_bin,sd300b,negative,0,,241,500,48.2
score_bin,sd300b,negative,1,,0,500,0.0
score_bin,sd300b,negative,2,,253,500,50.6
score_bin,sd300b,negative,3,,3,500,0.6
score_bin,sd300b,negative,4,,2,500,0.4
score_bin,sd300b,negative,5-9,,1,500,0.2
score_bin,sd300b,negative,10+,,0,500,0.0
descriptive_threshold_sensitivity,sd300b,negative,,1,259,500,51.8
descriptive_threshold_sensitivity,sd300b,negative,,2,259,500,51.8
descriptive_threshold_sensitivity,sd300b,negative,,3,6,500,1.2
descriptive_threshold_sensitivity,sd300b,negative,,4,3,500,0.6
score_bin,sd300c,genuine,0,,137,500,27.4
score_bin,sd300c,genuine,1,,0,500,0.0
score_bin,sd300c,genuine,2,,354,500,70.8
score_bin,sd300c,genuine,3,,8,500,1.6
score_bin,sd300c,genuine,4,,1,500,0.2
score_bin,sd300c,genuine,5-9,,0,500,0.0
score_bin,sd300c,genuine,10+,,0,500,0.0
descriptive_threshold_sensitivity,sd300c,genuine,,1,363,500,72.6
descriptive_threshold_sensitivity,sd300c,genuine,,2,363,500,72.6
descriptive_threshold_sensitivity,sd300c,genuine,,3,9,500,1.8
descriptive_threshold_sensitivity,sd300c,genuine,,4,1,500,0.2
score_bin,sd300c,negative,0,,218,500,43.6
score_bin,sd300c,negative,1,,0,500,0.0
score_bin,sd300c,negative,2,,281,500,56.2
score_bin,sd300c,negative,3,,1,500,0.2
score_bin,sd300c,negative,4,,0,500,0.0
score_bin,sd300c,negative,5-9,,0,500,0.0
score_bin,sd300c,negative,10+,,0,500,0.0
descriptive_threshold_sensitivity,sd300c,negative,,1,282,500,56.4
descriptive_threshold_sensitivity,sd300c,negative,,2,282,500,56.4
descriptive_threshold_sensitivity,sd300c,negative,,3,1,500,0.2
descriptive_threshold_sensitivity,sd300c,negative,,4,0,500,0.0
