section_number,section,dataset,metric,value
1,Record counts,sd300b,plain_records,500
1,Record counts,sd300b,roll_records,500
1,Record counts,sd300c,plain_records,500
1,Record counts,sd300c,roll_records,500
2,PLAIN self-comparisons,sd300b,matched,500
2,PLAIN self-comparisons,sd300b,not_matched,0
2,PLAIN self-comparisons,sd300b,removed,0
2,PLAIN self-comparisons,sd300b,remaining,500
2,PLAIN self-comparisons,sd300c,matched,500
2,PLAIN self-comparisons,sd300c,not_matched,0
2,PLAIN self-comparisons,sd300c,removed,0
2,PLAIN self-comparisons,sd300c,remaining,500
3,ROLL self-comparisons,sd300b,matched,500
3,ROLL self-comparisons,sd300b,not_matched,0
3,ROLL self-comparisons,sd300b,removed,0
3,ROLL self-comparisons,sd300b,remaining,500
3,ROLL self-comparisons,sd300c,matched,500
3,ROLL self-comparisons,sd300c,not_matched,0
3,ROLL self-comparisons,sd300c,removed,0
3,ROLL self-comparisons,sd300c,remaining,500
4,PLAIN-to-corresponding-ROLL record matching,joint,base_selection_already_passed_self_cleaning,true
4,PLAIN-to-corresponding-ROLL record matching,joint,pilot_self_runs_revalidated_cleaning,true
4,PLAIN-to-corresponding-ROLL record matching,joint,identities_before_repeat_cleaning,500
4,PLAIN-to-corresponding-ROLL record matching,joint,identities_after_repeat_cleaning,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,pair_count_after_self,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_same_subject_same_finger_count,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_different_subject_count,0
4,PLAIN-to-corresponding-ROLL record matching,sd300b,sourceafis_classified_same_person,358
4,PLAIN-to-corresponding-ROLL record matching,sd300b,sourceafis_classified_not_same_person,142
4,PLAIN-to-corresponding-ROLL record matching,sd300c,pair_count_after_self,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_same_subject_same_finger_count,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_different_subject_count,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,sourceafis_classified_same_person,344
4,PLAIN-to-corresponding-ROLL record matching,sd300c,sourceafis_classified_not_same_person,156
5,PLAIN versus corresponding ROLL,sd300b,matched,358
5,PLAIN versus corresponding ROLL,sd300b,not_matched,142
5,PLAIN versus corresponding ROLL,sd300b,match_percentage,71.6
5,PLAIN versus corresponding ROLL,sd300b,mean_comparison_time_ms,4.8216688
5,PLAIN versus corresponding ROLL,sd300c,matched,344
5,PLAIN versus corresponding ROLL,sd300c,not_matched,156
5,PLAIN versus corresponding ROLL,sd300c,match_percentage,68.8
5,PLAIN versus corresponding ROLL,sd300c,mean_comparison_time_ms,4.3985876
6,PLAIN versus next subject's ROLL,joint,pairing_method,"next subject within the same canonical finger position, circular shift by one"
6,PLAIN versus next subject's ROLL,sd300b,pair_count,500
6,PLAIN versus next subject's ROLL,sd300b,incorrectly_matched,0
6,PLAIN versus next subject's ROLL,sd300b,correctly_rejected,500
6,PLAIN versus next subject's ROLL,sd300b,false_match_percentage,0.0
6,PLAIN versus next subject's ROLL,sd300b,mean_comparison_time_ms,4.718205200000001
6,PLAIN versus next subject's ROLL,sd300c,pair_count,500
6,PLAIN versus next subject's ROLL,sd300c,incorrectly_matched,0
6,PLAIN versus next subject's ROLL,sd300c,correctly_rejected,500
6,PLAIN versus next subject's ROLL,sd300c,false_match_percentage,0.0
6,PLAIN versus next subject's ROLL,sd300c,mean_comparison_time_ms,3.7838322
